Characteristic,1997,SE,1998,SE,1999,SE,2000,SE,2001,SE,2002,SE,2003,SE,2004,SE,2005,SE,2006,SE,2007,SE,2008,SE,2009,SE,2010,SE,2011,SE,2012,SE,2013,SE,2014,SE,2015,SE,2016,SE,2017,SE,2018,SE,2019,SE
No high school diploma or GED,16.2,0.5,15.5,0.5,13.7,0.5,13.6,0.5,14.9,0.5,14.6,0.5,15.7,0.5,15.8,0.5,16.2,0.5,16.7,0.7,16.2,0.6,19.9,0.7,21.2,0.7,20.6,0.6,20.2,0.6,20.0,0.6,18.1,0.6,16.6,0.5,14.0,0.6,14.2,0.6,15.3,0.7,15.6,0.7,20.6,1.3
High school diploma or GED,11.1,0.3,9.7,0.3,10.2,0.3,9.9,0.3,9.2,0.3,11.0,0.3,11.4,0.3,12.0,0.3,11.7,0.3,12.7,0.4,13.3,0.4,14.7,0.4,17.0,0.5,16.1,0.4,16.4,0.4,14.9,0.3,14.8,0.4,13.0,0.4,11.4,0.4,11.3,0.4,11.0,0.4,12.7,0.4,14.5,0.6
Some college or more,9.2,0.2,8.0,0.2,7.7,0.2,7.7,0.2,8.2,0.2,8.3,0.2,9.4,0.2,10.3,0.2,9.8,0.2,10.6,0.3,10.8,0.3,12.3,0.3,13.7,0.3,13.4,0.3,12.5,0.3,12.2,0.2,11.2,0.3,10.4,0.2,9.2,0.2,9.1,0.2,9.4,0.2,10.6,0.2,10.3,0.3
