Characteristic,1997,SE,1998,SE,1999,SE,2000,SE,2001,SE,2002,SE,2003,SE,2004,SE,2005,SE,2006,SE,2007,SE,2008,SE,2009,SE,2010,SE,2011,SE,2012,SE,2013,SE,2014,SE,2015,SE,2016,SE,2017,SE,2018,SE,2019,SE
Northeast,8.8,0.3,8.1,0.4,7.4,0.3,7.6,0.3,7.6,0.3,8.0,0.4,8.1,0.4,8.7,0.4,8.7,0.4,8.2,0.4,7.9,0.4,9.7,0.5,10.7,0.4,10.2,0.5,9.9,0.4,9.9,0.4,9.0,0.4,8.5,0.4,7.7,0.4,6.8,0.4,6.8,0.4,8.7,0.4,8.3,0.6
Midwest,10.5,0.3,9.0,0.4,8.7,0.3,8.4,0.3,8.7,0.3,9.0,0.3,10.5,0.4,10.9,0.4,10.6,0.3,12.4,0.5,12.3,0.5,13.8,0.6,16.4,0.6,14.8,0.5,13.7,0.5,13.5,0.5,12.1,0.5,11.6,0.4,9.9,0.4,10.1,0.4,10.3,0.4,11.2,0.4,11.6,0.6
South,11.8,0.3,10.8,0.3,10.4,0.3,10.3,0.3,10.8,0.3,11.2,0.3,11.9,0.3,12.5,0.3,12.6,0.3,13.2,0.4,13.4,0.4,15.4,0.4,16.2,0.4,16.5,0.4,15.3,0.4,14.3,0.3,13.6,0.3,12.2,0.3,11.0,0.3,11.7,0.3,11.8,0.4,12.6,0.4,15.0,0.5
West,10.8,0.3,9.1,0.3,9.4,0.4,9.9,0.4,9.8,0.4,9.6,0.3,10.8,0.4,12.2,0.5,11.1,0.4,11.4,0.5,12.0,0.4,13.4,0.5,15.6,0.6,15.1,0.5,15.3,0.5,14.1,0.4,13.6,0.4,11.1,0.4,9.5,0.4,8.9,0.3,9.3,0.4,10.2,0.4,10.8,0.5
