Characteristic,1997,SE,1998,SE,1999,SE,2000,SE,2001,SE,2002,SE,2003,SE,2004,SE,2005,SE,2006,SE,2007,SE,2008,SE,2009,SE,2010,SE,2011,SE,2012,SE,2013,SE,2014,SE,2015,SE,2016,SE,2017,SE,2018,SE,2019,SE
Within MSA,10.2,0.2,9.1,0.2,8.7,0.2,8.7,0.2,9.0,0.2,9.1,0.2,10.0,0.2,10.8,0.2,10.6,0.2,11.2,0.2,11.3,0.2,13.1,0.3,14.8,0.3,14.2,0.2,13.7,0.2,12.9,0.2,12.1,0.2,10.8,0.2,9.6,0.2,9.5,0.2,9.7,0.2,10.7,0.2,11.8,0.3
Outside MSA,12.5,0.4,11.0,0.5,11.4,0.5,11.5,0.5,11.5,0.5,12.2,0.5,13.1,0.5,13.6,0.4,12.8,0.4,14.2,0.7,14.7,0.6,16.4,0.7,17.1,0.7,17.4,0.6,15.6,0.6,15.3,0.5,14.6,0.5,13.4,0.5,11.0,0.5,11.7,0.6,12.0,0.6,13.2,0.6,14.4,0.9
