Characteristic,1997,SE,1998,SE,1999,SE,2000,SE,2001,SE,2002,SE,2003,SE,2004,SE,2005,SE,2006,SE,2007,SE,2008,SE,2009,SE,2010,SE,2011,SE,2012,SE,2013,SE,2014,SE,2015,SE,2016,SE,2017,SE,2018,SE,2019,SE
Male,9.3,0.2,8.5,0.2,8.0,0.2,8.0,0.2,8.5,0.2,8.8,0.2,9.7,0.2,10.3,0.2,10.0,0.2,10.8,0.3,10.4,0.3,12.2,0.3,14.1,0.3,13.5,0.3,12.9,0.3,12.1,0.2,11.2,0.2,10.1,0.2,8.9,0.2,9.1,0.2,9.1,0.2,10.8,0.2,10.3,0.4
Female,12.0,0.2,10.4,0.2,10.3,0.2,10.4,0.2,10.4,0.2,10.6,0.2,11.5,0.2,12.4,0.2,12.1,0.2,12.6,0.3,13.3,0.3,14.9,0.3,16.1,0.3,15.7,0.3,15.0,0.3,14.3,0.2,13.6,0.3,12.2,0.2,10.7,0.2,10.4,0.2,10.8,0.2,11.3,0.2,13.9,0.4
