Characteristic,1997,SE,1998,SE,1999,SE,2000,SE,2001,SE,2002,SE,2003,SE,2004,SE,2005,SE,2006,SE,2007,SE,2008,SE,2009,SE,2010,SE,2011,SE,2012,SE,2013,SE,2014,SE,2015,SE,2016,SE,2017,SE,2018,SE,2019,SE
Hispanic or Latino,10.5,0.4,9.4,0.4,8.6,0.3,8.6,0.3,9.9,0.4,9.5,0.4,11.0,0.4,11.0,0.4,11.5,0.4,12.1,0.5,11.8,0.4,13.9,0.5,16.4,0.6,15.4,0.4,15.8,0.4,14.8,0.4,14.1,0.4,11.4,0.4,10.8,0.4,9.4,0.4,10.3,0.5,10.2,0.5,15.6,0.8
Mexican,9.7,0.5,8.5,0.5,7.9,0.4,7.6,0.4,9.3,0.4,9.0,0.5,10.6,0.5,10.6,0.4,11.4,0.5,11.8,0.6,12.2,0.6,14.2,0.7,15.9,0.7,15.6,0.5,15.4,0.5,14.6,0.5,14.0,0.5,11.3,0.5,11.0,0.5,9.4,0.6,10.3,0.6,9.2,0.6,15.4,0.9
Not Hispanic or Latino,10.7,0.2,9.5,0.2,9.3,0.2,9.3,0.2,9.4,0.2,9.8,0.2,10.6,0.2,11.4,0.2,11.0,0.2,11.6,0.3,11.8,0.2,13.5,0.3,14.9,0.3,14.5,0.2,13.6,0.2,12.9,0.2,12.1,0.2,11.1,0.2,9.6,0.2,9.8,0.2,9.9,0.2,11.2,0.2,11.3,0.3
White only,10.9,0.2,9.5,0.2,9.4,0.2,9.4,0.2,9.4,0.2,9.7,0.2,10.7,0.2,11.6,0.2,11.1,0.2,11.9,0.3,12.0,0.3,13.8,0.3,14.9,0.3,14.3,0.3,13.6,0.3,13.0,0.2,11.9,0.3,11.0,0.2,9.7,0.2,10.0,0.2,10.1,0.2,11.4,0.2,11.2,0.3
Black or African American only,10.8,0.4,10.3,0.4,9.4,0.4,9.5,0.4,10.1,0.4,11.3,0.5,10.8,0.4,11.7,0.4,12.0,0.4,12.2,0.5,12.2,0.5,14.7,0.6,16.7,0.6,17.5,0.5,15.3,0.5,14.8,0.5,14.5,0.5,13.4,0.5,11.1,0.5,10.8,0.5,11.0,0.5,11.9,0.6,14.4,1.0
