Characteristic,1997,SE,1998,SE,1999,SE,2000,SE,2001,SE,2002,SE,2003,SE,2004,SE,2005,SE,2006,SE,2007,SE,2008,SE,2009,SE,2010,SE,2011,SE,2012,SE,2013,SE,2014,SE,2015,SE,2016,SE,2017,SE,2018,SE,2019,SE
White only,10.8,0.2,9.5,0.2,9.3,0.2,9.3,0.2,9.4,0.2,9.6,0.2,10.8,0.2,11.5,0.2,11.1,0.2,11.9,0.3,12.0,0.3,13.8,0.3,15.2,0.3,14.5,0.3,13.9,0.3,13.3,0.2,12.3,0.2,11.1,0.2,9.9,0.2,9.9,0.2,10.1,0.2,11.1,0.2,11.9,0.3
Black or African American only,10.8,0.4,10.3,0.4,9.4,0.4,9.5,0.4,10.3,0.4,11.3,0.5,10.8,0.4,11.7,0.4,12.0,0.4,12.2,0.5,12.2,0.5,14.6,0.6,16.7,0.6,17.4,0.5,15.4,0.4,14.8,0.5,14.6,0.5,13.3,0.5,11.0,0.4,10.7,0.5,10.9,0.5,11.9,0.6,14.5,0.9
American Indian or Alaska Native only,14.5,2.0,14.2,1.8,10.4,1.7,12.8,1.9,12.9,2.1,13.8,2.3,15.1,2.5,13.7,2.1,13.2,1.9,*12.6,*2.6,14.1,2.2,17.1,2.6,17.3,2.4,*15.7,3.4,16.4,2.1,13.2,1.7,15.2,2.3,12.0,1.6,9.8,1.4,9.7,1.7,9.3,1.6,12.5,2.2,13.6,2.8
Asian only,…,…,…,…,5.3,0.7,5.2,0.6,5.7,0.7,4.6,0.6,4.9,0.6,6.3,0.7,5.0,0.6,5.3,0.5,6.1,0.6,6.2,0.7,7.5,0.6,8.0,0.5,8.9,0.6,6.9,0.5,7.3,0.5,6.2,0.5,4.8,0.4,4.6,0.5,5.1,0.5,5.8,0.6,5.1,0.9
Native Hawaiian or Other Pacific Islander only,…,…,…,…,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,16.3,4.0,*,*,*,*,*,*
2 or more races,…,…,…,…,14.0,1.6,17.7,1.9,17.3,1.5,16.5,1.9,18.9,2.0,16.6,1.6,19.9,1.9,17.4,2.0,19.9,2.2,18.1,1.9,25.0,2.2,24.0,1.8,20.0,1.5,21.3,1.6,19.8,1.4,16.8,1.4,15.2,1.3,14.7,1.3,16.9,1.6,17.8,1.5,17.1,2.2
