Characteristic,1997,SE,1998,SE,1999,SE,2000,SE,2001,SE,2002,SE,2003,SE,2004,SE,2005,SE,2006,SE,2007,SE,2008,SE,2009,SE,2010,SE,2011,SE,2012,SE,2013,SE,2014,SE,2015,SE,2016,SE,2017,SE,2018,SE,2019,SE
Below 100%,19.6,0.6,19.1,0.7,17.7,0.6,18.4,0.7,17.6,0.6,16.9,0.6,18.5,0.6,20.4,0.7,20.0,0.7,20.8,0.8,20.8,0.8,21.9,0.8,24.8,0.8,23.4,0.7,24.1,0.7,22.4,0.6,21.8,0.6,20.2,0.6,16.6,0.6,15.2,0.6,16.2,0.6,17.2,0.7,20.4,1.1
100%–199%,17.9,0.4,16.5,0.5,16.1,0.5,15.8,0.5,16.8,0.5,17.2,0.5,18.5,0.6,19.3,0.5,18.9,0.5,19.1,0.7,19.9,0.6,22.5,0.7,24.0,0.6,24.0,0.6,23.5,0.6,22.3,0.5,20.3,0.6,17.9,0.5,15.9,0.5,16.3,0.5,15.3,0.5,17.1,0.6,20.2,0.8
200%–399%,10.5,0.3,9.3,0.3,9.8,0.3,9.6,0.3,10.2,0.3,10.4,0.3,10.9,0.4,12.1,0.4,11.8,0.3,12.0,0.4,13.0,0.4,15.0,0.5,16.8,0.5,15.2,0.4,14.2,0.4,13.2,0.3,12.5,0.3,11.5,0.4,10.8,0.4,10.6,0.4,11.6,0.4,13.0,0.4,13.5,0.5
400% or more,4.6,0.2,4.0,0.2,4.0,0.2,4.0,0.2,4.0,0.2,4.4,0.2,5.1,0.2,5.2,0.2,5.0,0.2,5.4,0.3,5.3,0.2,6.7,0.3,7.2,0.3,6.8,0.2,5.5,0.2,5.3,0.2,5.1,0.2,4.3,0.2,4.2,0.2,4.9,0.2,5.1,0.2,5.7,0.2,5.0,0.3
